Name,Info,Address,Tel
위드미치코,기타 한식,서울특별시 서대문구 충정로 20,02-362-1394
고릴라,고기 요리,서울특별시 서대문구 충정로 22-2,02-312-3541
옐로우보울,기타 양식,서울특별시 서대문구 충정로 7 구세군빌딩,02-6364-4961
철길떡볶이,기타 한식,서울특별시 서대문구 충정로 35-6,02-364-3440
충정각,이탈리안,서울특별시 서대문구 충정로2길 8 1F,02-313-0424
양드림식당,기타 중식,서울특별시 중구 서소문로6길 12,02-6180-1588
깐쪼네,이탈리안,서울특별시 서대문구 경기대로 23,02-393-4333
깐부치킨 (충정로역점),닭 / 오리 요리,서울특별시 중구 서소문로 38,02-313-9282
청안식탁,닭 / 오리 요리,서울특별시 서대문구 충정로4길 21,02-363-7890
에뚜왈 (충정로점),베이커리,서울특별시 서대문구 충정로4길 28,02-913-7604
세양원,정통 중식 / 일반 중식,서울특별시 서대문구 충정로 8,02-312-2701
봉추찜닭 (서대문(충정로)점),닭 / 오리 요리,서울특별시 서대문구 충정로 13,02-393-6981
차이리,정통 중식 / 일반 중식,서울특별시 서대문구 서소문로 43-45 오키로키친 2F,0507-1393-8151
해주면가,기타 한식,서울특별시 서대문구 서소문로 27 충정리시온,02-364-3650
작은언덕 카페,카페 / 디저트,서울특별시 중구 서소문로 32-15 1F,010-8778-5979
곽대리꼼대리닭대리,닭 / 오리 요리,서울특별시 중구 서소문로 12,02-312-6063
대피공간,칵테일 / 와인,서울특별시 서대문구 충정로4길 5-6 1F,070-4189-4809
벙커1,치킨 / 호프 / 펍,서울특별시 서대문구 충정로 20,02-762-7607
마포갈비생고기전문점,고기 요리,서울특별시 서대문구 경기대로 36,02-312-5989
히비야,까스 요리,서울특별시 서대문구 충정로 8,02-393-6193
남대문할매인삼족발,고기 요리,서울특별시 중구 중림로 9-1,02-365-7079
이화수전통육개장 (충정로점),탕 / 찌개 / 전골,서울특별시 서대문구 충정로 18,02-363-4042
